Restaurant Name,HTML Code,Prompt
Harvest Table,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Harvest Table - Home</title>
        <style>
            body {
                font-family: Serif;
                background: Magenta;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Harvest Table</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 200</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 300</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 400</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Harvest Table. Use simple CSS for styling.
Curry Corner,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Curry Corner - Home</title>
        <style>
            body {
                font-family: Monospace;
                background: to right, #8e44ad, #c0392b;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Curry Corner - Locally sourced, globally inspired.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 210</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 310</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 410</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Curry Corner. Use simple CSS for styling.
Golden Grains,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Golden Grains - Home</title>
        <style>
            body {
                font-family: Sans-Serif;
                background: Cyan;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Golden Grains</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 220</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 320</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 420</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Golden Grains. Use simple CSS for styling.
Golden Grains,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Golden Grains - Home</title>
        <style>
            body {
                font-family: Serif;
                background: to right, #4568dc, #b06ab3;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Golden Grains</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 230</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 330</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 430</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Golden Grains. Use simple CSS for styling.
Ocean's Delight,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Ocean's Delight - Home</title>
        <style>
            body {
                font-family: Monospace;
                background: White;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Ocean's Delight</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 240</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 340</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 440</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Ocean's Delight. Use simple CSS for styling.
Southern Comforts,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Southern Comforts - Home</title>
        <style>
            body {
                font-family: Sans-Serif;
                background: to right, #ffcc70, #ff7e5f;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Southern Comforts</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 250</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 350</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 450</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Southern Comforts. Use simple CSS for styling.
Island Taste,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Island Taste - Home</title>
        <style>
            body {
                font-family: Serif;
                background: Yellow;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Island Taste</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 260</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 360</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 460</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Island Taste. Use simple CSS for styling.
Golden Grains,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Golden Grains - Home</title>
        <style>
            body {
                font-family: Monospace;
                background: to right, #fc4a1a, #f7b733;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Golden Grains - Flavors that bring people together.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 270</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 370</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 470</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Golden Grains. Use simple CSS for styling.
Ocean's Delight,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Ocean's Delight - Home</title>
        <style>
            body {
                font-family: Sans-Serif;
                background: Navy;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Ocean's Delight - Authentic cuisine, unforgettable experiences.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 280</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 380</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 480</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Ocean's Delight. Use simple CSS for styling.
Southern Comforts,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Southern Comforts - Home</title>
        <style>
            body {
                font-family: Serif;
                background: to right, #ffcc70, #ff7e5f;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Southern Comforts - Where taste meets tradition.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 290</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 390</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 490</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Southern Comforts. Use simple CSS for styling.
Heritage Bites,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Heritage Bites - Home</title>
        <style>
            body {
                font-family: Monospace;
                background: Red;
                margin: 0; padding: 0;
                color: #333;
            }
            nav {
                display: flex; justify-content: space-between; background: #444; padding: 10px 20px; color: white;
            }
            .cards {
                display: flex; gap: 20px; padding: 20px;
            }
            .card {
                flex: 1; padding: 10px; border: 1px solid #ddd; border-radius: 10px;
            }
        </style>
    </head>
    <body>
        <nav><div>Heritage Bites</div><div>Menu | About | Contact</div></nav>
        <div class=""cards"">
            <div class='card'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 300</strong></p></div><div class='card'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 400</strong></p></div><div class='card'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 500</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Heritage Bites. Use simple CSS for styling.
Fusion Feast,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Fusion Feast - Home</title>
        <style>
            body {
                font-family: Sans-Serif;
                background: to right, #fc4a1a, #f7b733;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Fusion Feast - A journey of flavors.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 310</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 410</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 510</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Fusion Feast. Use simple CSS for styling.
Flavors of Lanka,"<!DOCTYPE html>
    <html lang=""en"">
    <head>
        <meta charset=""UTF-8"">
        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
        <title>Flavors of Lanka - Home</title>
        <style>
            body {
                font-family: Serif;
                background: Red;
                margin: 0; padding: 0;
                color: #333;
            }
            header {
                text-align: center; padding: 20px; background: #222; color: white;
            }
            .grid-container {
                display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 20px; padding: 20px;
            }
            .grid-item {
                background: white; border-radius: 10px; padding: 20px; box-shadow: 0 2px 5px rgba(0, 0, 0, 0.2);
            }
        </style>
    </head>
    <body>
        <header><h1>Welcome to Flavors of Lanka - Flavors that bring people together.</h1></header>
        <div class=""grid-container"">
            <div class='grid-item'><h3>Dish A</h3><p>A delicious treat with a mix of spices.</p><p><strong>LKR 320</strong></p></div><div class='grid-item'><h3>Dish B</h3><p>Fresh and delightful, perfect for all.</p><p><strong>LKR 420</strong></p></div><div class='grid-item'><h3>Dish C</h3><p>Grilled to perfection with a hint of lime.</p><p><strong>LKR 520</strong></p></div>
        </div>
    </body>
    </html>",Create a webpage using HTML with a header and a footer with contact information for the restaurant named as Flavors of Lanka. Use simple CSS for styling.
